,year,state,level,total_people_by_state_and_level,total_man_by_state_and_level,total_woman_by_state_and_level,total_people_by_state_and_year,total_man_by_state_and_year,total_woman_by_state_and_year,man_percentage_by_state_and_level,woman_percentage_by_state_and_level,rate_level
928,2008,Chiapas,Menos de 1 s.m.,2634968,2516593,118375,4896738,3908146,988592,0,0,0
929,2008,Chiapas,M s de 1 hasta 2 s.m.,26318,23660,2658,4896738,3908146,988592,0,0,0
930,2008,Chiapas,M s de 10 s.m.,912228,311354,600874,4896738,3908146,988592,0,0,0
931,2008,Chiapas,M s de 2 hasta 3 s.m.,448506,437902,10604,4896738,3908146,988592,0,0,0
932,2008,Chiapas,M s de 3 hasta 5 s.m.,464216,247146,217070,4896738,3908146,988592,0,0,0
933,2008,Chiapas,M s de 5 hasta 10 s.m.,158885,130175,28710,4896738,3908146,988592,0,0,0
934,2008,Chiapas,No especificado,16178,10483,5695,4896738,3908146,988592,0,0,0
935,2008,Chiapas,No recibe ingresos,229041,224495,4546,4896738,3908146,988592,0,0,0
936,2008,Chihuahua,1 salario m¡nimo,10285,9447,838,3465501,2483950,981551,0,0,0
937,2008,Chihuahua,Menos de 1 s.m.,531873,508850,23023,3465501,2483950,981551,0,0,0
938,2008,Chihuahua,M s de 1 hasta 2 s.m.,28310,25746,2564,3465501,2483950,981551,0,0,0
939,2008,Chihuahua,M s de 10 s.m.,952303,523639,428664,3465501,2483950,981551,0,0,0
940,2008,Chihuahua,M s de 2 hasta 3 s.m.,435558,422689,12869,3465501,2483950,981551,0,0,0
941,2008,Chihuahua,M s de 3 hasta 5 s.m.,1193968,733576,460392,3465501,2483950,981551,0,0,0
942,2008,Chihuahua,M s de 5 hasta 10 s.m.,120870,95032,25838,3465501,2483950,981551,0,0,0
943,2008,Chihuahua,No especificado,49426,37150,12276,3465501,2483950,981551,0,0,0
944,2008,Chihuahua,No recibe ingresos,142908,127821,15087,3465501,2483950,981551,0,0,0
945,2008,Ciudad de Mxico,1 salario m¡nimo,6587,6587,0,7869340,5168123,2701217,0,0,0
946,2008,Ciudad de Mxico,Menos de 1 s.m.,101724,79510,22214,7869340,5168123,2701217,0,0,0
947,2008,Ciudad de Mxico,M s de 1 hasta 2 s.m.,102499,86628,15871,7869340,5168123,2701217,0,0,0
948,2008,Ciudad de Mxico,M s de 10 s.m.,2872567,1411811,1460756,7869340,5168123,2701217,0,0,0
949,2008,Ciudad de Mxico,M s de 2 hasta 3 s.m.,846100,789321,56779,7869340,5168123,2701217,0,0,0
950,2008,Ciudad de Mxico,M s de 3 hasta 5 s.m.,2172448,1410549,761899,7869340,5168123,2701217,0,0,0
951,2008,Ciudad de Mxico,M s de 5 hasta 10 s.m.,542936,384842,158094,7869340,5168123,2701217,0,0,0
952,2008,Ciudad de Mxico,No especificado,352552,229136,123416,7869340,5168123,2701217,0,0,0
953,2008,Ciudad de Mxico,No recibe ingresos,871927,769739,102188,7869340,5168123,2701217,0,0,0
954,2008,Coahuila,1 salario m¡nimo,58669,56404,2265,2744148,1976612,767536,0,0,0
955,2008,Coahuila,Menos de 1 s.m.,210021,193827,16194,2744148,1976612,767536,0,0,0
956,2008,Coahuila,M s de 1 hasta 2 s.m.,28116,24297,3819,2744148,1976612,767536,0,0,0
957,2008,Coahuila,M s de 10 s.m.,735631,331844,403787,2744148,1976612,767536,0,0,0
958,2008,Coahuila,M s de 2 hasta 3 s.m.,398654,381917,16737,2744148,1976612,767536,0,0,0
959,2008,Coahuila,M s de 3 hasta 5 s.m.,961880,694766,267114,2744148,1976612,767536,0,0,0
960,2008,Coahuila,M s de 5 hasta 10 s.m.,153344,122625,30719,2744148,1976612,767536,0,0,0
961,2008,Coahuila,No especificado,34758,16450,18308,2744148,1976612,767536,0,0,0
962,2008,Coahuila,No recibe ingresos,163075,154482,8593,2744148,1976612,767536,0,0,0
963,2008,Colima,1 salario m¡nimo,9909,9439,470,685977,472926,213051,0,0,0
964,2008,Colima,Menos de 1 s.m.,151909,127870,24039,685977,472926,213051,0,0,0
965,2008,Colima,M s de 1 hasta 2 s.m.,7486,6051,1435,685977,472926,213051,0,0,0
966,2008,Colima,M s de 10 s.m.,194030,74466,119564,685977,472926,213051,0,0,0
967,2008,Colima,M s de 2 hasta 3 s.m.,108306,103781,4525,685977,472926,213051,0,0,0
968,2008,Colima,M s de 3 hasta 5 s.m.,99108,59711,39397,685977,472926,213051,0,0,0
969,2008,Colima,M s de 5 hasta 10 s.m.,30418,21361,9057,685977,472926,213051,0,0,0
970,2008,Colima,No especificado,11579,7633,3946,685977,472926,213051,0,0,0
971,2008,Colima,No recibe ingresos,73232,62614,10618,685977,472926,213051,0,0,0
972,2008,Durango,1 salario m¡nimo,53707,49365,4342,1548579,1174722,373857,0,0,0
973,2008,Durango,Menos de 1 s.m.,388411,370547,17864,1548579,1174722,373857,0,0,0
974,2008,Durango,M s de 1 hasta 2 s.m.,7852,6499,1353,1548579,1174722,373857,0,0,0
975,2008,Durango,M s de 10 s.m.,397794,177890,219904,1548579,1174722,373857,0,0,0
976,2008,Durango,M s de 2 hasta 3 s.m.,182206,180277,1929,1548579,1174722,373857,0,0,0
977,2008,Durango,M s de 3 hasta 5 s.m.,333104,228439,104665,1548579,1174722,373857,0,0,0
978,2008,Durango,M s de 5 hasta 10 s.m.,55946,40904,15042,1548579,1174722,373857,0,0,0
979,2008,Durango,No especificado,11239,6883,4356,1548579,1174722,373857,0,0,0
980,2008,Durango,No recibe ingresos,118320,113918,4402,1548579,1174722,373857,0,0,0
981,2008,Estado de Mxico,1 salario m¡nimo,13132,13046,86,14755122,10493474,4261648,0,0,0
982,2008,Estado de Mxico,Menos de 1 s.m.,1333374,1176490,156884,14755122,10493474,4261648,0,0,0
983,2008,Estado de Mxico,M s de 1 hasta 2 s.m.,118217,111045,7172,14755122,10493474,4261648,0,0,0
984,2008,Estado de Mxico,M s de 10 s.m.,4136660,1990446,2146214,14755122,10493474,4261648,0,0,0
985,2008,Estado de Mxico,M s de 2 hasta 3 s.m.,2259277,2195078,64199,14755122,10493474,4261648,0,0,0
986,2008,Estado de Mxico,M s de 3 hasta 5 s.m.,4382703,2839297,1543406,14755122,10493474,4261648,0,0,0
987,2008,Estado de Mxico,M s de 5 hasta 10 s.m.,663705,504923,158782,14755122,10493474,4261648,0,0,0
988,2008,Estado de Mxico,No especificado,231593,134882,96711,14755122,10493474,4261648,0,0,0
989,2008,Estado de Mxico,No recibe ingresos,1616461,1528267,88194,14755122,10493474,4261648,0,0,0
990,2008,Guanajuato,1 salario m¡nimo,14622,13434,1188,5672771,3874689,1798082,0,0,0
991,2008,Guanajuato,Menos de 1 s.m.,990239,854157,136082,5672771,3874689,1798082,0,0,0
992,2008,Guanajuato,M s de 1 hasta 2 s.m.,27101,25301,1800,5672771,3874689,1798082,0,0,0
993,2008,Guanajuato,M s de 10 s.m.,1478742,643349,835393,5672771,3874689,1798082,0,0,0
994,2008,Guanajuato,M s de 2 hasta 3 s.m.,664545,645881,18664,5672771,3874689,1798082,0,0,0
995,2008,Guanajuato,M s de 3 hasta 5 s.m.,2000072,1285305,714767,5672771,3874689,1798082,0,0,0
996,2008,Guanajuato,M s de 5 hasta 10 s.m.,242956,184205,58751,5672771,3874689,1798082,0,0,0
997,2008,Guanajuato,No especificado,33690,22713,10977,5672771,3874689,1798082,0,0,0
998,2008,Guanajuato,No recibe ingresos,220804,200344,20460,5672771,3874689,1798082,0,0,0
999,2008,Guerrero,1 salario m¡nimo,10627,10106,521,3516402,2351337,1165065,0,0,0
1000,2008,Guerrero,Menos de 1 s.m.,1410828,1184374,226454,3516402,2351337,1165065,0,0,0
1001,2008,Guerrero,M s de 1 hasta 2 s.m.,30022,25814,4208,3516402,2351337,1165065,0,0,0
1002,2008,Guerrero,M s de 10 s.m.,854743,282707,572036,3516402,2351337,1165065,0,0,0
1003,2008,Guerrero,M s de 2 hasta 3 s.m.,347491,338000,9491,3516402,2351337,1165065,0,0,0
1004,2008,Guerrero,M s de 3 hasta 5 s.m.,545419,222686,322733,3516402,2351337,1165065,0,0,0
1005,2008,Guerrero,M s de 5 hasta 10 s.m.,80485,64740,15745,3516402,2351337,1165065,0,0,0
1006,2008,Guerrero,No especificado,21742,13894,7848,3516402,2351337,1165065,0,0,0
1007,2008,Guerrero,No recibe ingresos,215045,209016,6029,3516402,2351337,1165065,0,0,0
1008,2008,Hidalgo,1 salario m¡nimo,16011,14839,1172,2768029,1949011,819018,0,0,0
1009,2008,Hidalgo,Menos de 1 s.m.,923221,742986,180235,2768029,1949011,819018,0,0,0
1010,2008,Hidalgo,M s de 1 hasta 2 s.m.,18353,14327,4026,2768029,1949011,819018,0,0,0
1011,2008,Hidalgo,M s de 10 s.m.,605547,274934,330613,2768029,1949011,819018,0,0,0
1012,2008,Hidalgo,M s de 2 hasta 3 s.m.,341695,333994,7701,2768029,1949011,819018,0,0,0
1013,2008,Hidalgo,M s de 3 hasta 5 s.m.,605820,341974,263846,2768029,1949011,819018,0,0,0
1014,2008,Hidalgo,M s de 5 hasta 10 s.m.,107549,89246,18303,2768029,1949011,819018,0,0,0
1015,2008,Hidalgo,No especificado,18555,10425,8130,2768029,1949011,819018,0,0,0
1016,2008,Hidalgo,No recibe ingresos,131278,126286,4992,2768029,1949011,819018,0,0,0
1017,2008,Jalisco,1 salario m¡nimo,7600,7600,0,7718549,5264896,2453653,0,0,0
1018,2008,Jalisco,Menos de 1 s.m.,1111687,984845,126842,7718549,5264896,2453653,0,0,0
1019,2008,Jalisco,M s de 1 hasta 2 s.m.,37327,29439,7888,7718549,5264896,2453653,0,0,0
1020,2008,Jalisco,M s de 10 s.m.,2287313,1030395,1256918,7718549,5264896,2453653,0,0,0
1021,2008,Jalisco,M s de 2 hasta 3 s.m.,1068106,1030868,37238,7718549,5264896,2453653,0,0,0
1022,2008,Jalisco,M s de 3 hasta 5 s.m.,2372813,1519156,853657,7718549,5264896,2453653,0,0,0
1023,2008,Jalisco,M s de 5 hasta 10 s.m.,393948,291391,102557,7718549,5264896,2453653,0,0,0
1024,2008,Jalisco,No especificado,76689,42586,34103,7718549,5264896,2453653,0,0,0
1025,2008,Jalisco,No recibe ingresos,363066,328616,34450,7718549,5264896,2453653,0,0,0
1026,2008,Michoac n,1 salario m¡nimo,3741,3741,0,4616758,3269967,1346791,0,0,0
1027,2008,Michoac n,Menos de 1 s.m.,1409655,1253033,156622,4616758,3269967,1346791,0,0,0
1028,2008,Michoac n,M s de 1 hasta 2 s.m.,26138,18756,7382,4616758,3269967,1346791,0,0,0
1029,2008,Michoac n,M s de 10 s.m.,1308343,530561,777782,4616758,3269967,1346791,0,0,0
1030,2008,Michoac n,M s de 2 hasta 3 s.m.,497209,489825,7384,4616758,3269967,1346791,0,0,0
1031,2008,Michoac n,M s de 3 hasta 5 s.m.,960108,621131,338977,4616758,3269967,1346791,0,0,0
1032,2008,Michoac n,M s de 5 hasta 10 s.m.,164550,139579,24971,4616758,3269967,1346791,0,0,0
1033,2008,Michoac n,No especificado,31087,15958,15129,4616758,3269967,1346791,0,0,0
1034,2008,Michoac n,No recibe ingresos,215927,197383,18544,4616758,3269967,1346791,0,0,0
1035,2008,Morelos,1 salario m¡nimo,7428,7428,0,1793370,1256587,536783,0,0,0
1036,2008,Morelos,Menos de 1 s.m.,408698,365399,43299,1793370,1256587,536783,0,0,0
1037,2008,Morelos,M s de 1 hasta 2 s.m.,17341,15520,1821,1793370,1256587,536783,0,0,0
1038,2008,Morelos,M s de 10 s.m.,566953,237643,329310,1793370,1256587,536783,0,0,0
1039,2008,Morelos,M s de 2 hasta 3 s.m.,288553,283244,5309,1793370,1256587,536783,0,0,0
1040,2008,Morelos,M s de 3 hasta 5 s.m.,324824,194812,130012,1793370,1256587,536783,0,0,0
1041,2008,Morelos,M s de 5 hasta 10 s.m.,54508,42559,11949,1793370,1256587,536783,0,0,0
1042,2008,Morelos,No especificado,15980,9310,6670,1793370,1256587,536783,0,0,0
1043,2008,Morelos,No recibe ingresos,109085,100672,8413,1793370,1256587,536783,0,0,0
1044,2008,Nacional,1 salario m¡nimo,769218,690228,78990,113980449,80234332,33746117,0,0,0
1045,2008,Nacional,Menos de 1 s.m.,24454410,21490859,2963551,113980449,80234332,33746117,0,0,0
1046,2008,Nacional,M s de 1 hasta 2 s.m.,847638,709440,138198,113980449,80234332,33746117,0,0,0
1047,2008,Nacional,M s de 10 s.m.,30696959,13800752,16896207,113980449,80234332,33746117,0,0,0
1048,2008,Nacional,M s de 2 hasta 3 s.m.,14928701,14444754,483947,113980449,80234332,33746117,0,0,0
1049,2008,Nacional,M s de 3 hasta 5 s.m.,28644363,17715426,10928937,113980449,80234332,33746117,0,0,0
1050,2008,Nacional,M s de 5 hasta 10 s.m.,4691201,3522989,1168212,113980449,80234332,33746117,0,0,0
1051,2008,Nacional,No especificado,1427113,902529,524584,113980449,80234332,33746117,0,0,0
1052,2008,Nacional,No recibe ingresos,7520846,6957355,563491,113980449,80234332,33746117,0,0,0
1053,2008,Nayarit,1 salario m¡nimo,3681,3237,444,1089292,784114,305178,0,0,0
1054,2008,Nayarit,Menos de 1 s.m.,338239,319353,18886,1089292,784114,305178,0,0,0
1055,2008,Nayarit,M s de 1 hasta 2 s.m.,7905,6392,1513,1089292,784114,305178,0,0,0
1056,2008,Nayarit,M s de 10 s.m.,317110,118146,198964,1089292,784114,305178,0,0,0
1057,2008,Nayarit,M s de 2 hasta 3 s.m.,158317,154161,4156,1089292,784114,305178,0,0,0
1058,2008,Nayarit,M s de 3 hasta 5 s.m.,167743,102629,65114,1089292,784114,305178,0,0,0
1059,2008,Nayarit,M s de 5 hasta 10 s.m.,31418,23040,8378,1089292,784114,305178,0,0,0
1060,2008,Nayarit,No especificado,6812,3606,3206,1089292,784114,305178,0,0,0
1061,2008,Nayarit,No recibe ingresos,58067,53550,4517,1089292,784114,305178,0,0,0
1062,2008,Nuevo Le¢n,1 salario m¡nimo,9812,7233,2579,4860472,3464711,1395761,0,0,0
1063,2008,Nuevo Le¢n,Menos de 1 s.m.,141287,130896,10391,4860472,3464711,1395761,0,0,0
1064,2008,Nuevo Le¢n,M s de 1 hasta 2 s.m.,43005,34729,8276,4860472,3464711,1395761,0,0,0
1065,2008,Nuevo Le¢n,M s de 10 s.m.,1227063,579984,647079,4860472,3464711,1395761,0,0,0
1066,2008,Nuevo Le¢n,M s de 2 hasta 3 s.m.,773601,751075,22526,4860472,3464711,1395761,0,0,0
1067,2008,Nuevo Le¢n,M s de 3 hasta 5 s.m.,1819417,1262494,556923,4860472,3464711,1395761,0,0,0
1068,2008,Nuevo Le¢n,M s de 5 hasta 10 s.m.,324681,237592,87089,4860472,3464711,1395761,0,0,0
1069,2008,Nuevo Le¢n,No especificado,88951,62046,26905,4860472,3464711,1395761,0,0,0
1070,2008,Nuevo Le¢n,No recibe ingresos,432655,398662,33993,4860472,3464711,1395761,0,0,0
1071,2008,Oaxaca,1 salario m¡nimo,6502,6401,101,4277810,2875664,1402146,0,0,0
1072,2008,Oaxaca,Menos de 1 s.m.,1937243,1597983,339260,4277810,2875664,1402146,0,0,0
1073,2008,Oaxaca,M s de 1 hasta 2 s.m.,8989,7002,1987,4277810,2875664,1402146,0,0,0
1074,2008,Oaxaca,M s de 10 s.m.,880976,305312,575664,4277810,2875664,1402146,0,0,0
1075,2008,Oaxaca,M s de 2 hasta 3 s.m.,455673,449211,6462,4277810,2875664,1402146,0,0,0
1076,2008,Oaxaca,M s de 3 hasta 5 s.m.,696976,257676,439300,4277810,2875664,1402146,0,0,0
1077,2008,Oaxaca,M s de 5 hasta 10 s.m.,78360,53949,24411,4277810,2875664,1402146,0,0,0
1078,2008,Oaxaca,No especificado,16312,9721,6591,4277810,2875664,1402146,0,0,0
1079,2008,Oaxaca,No recibe ingresos,196779,188409,8370,4277810,2875664,1402146,0,0,0
1080,2008,Puebla,1 salario m¡nimo,30537,29346,1191,6621824,4416631,2205193,0,0,0
1081,2008,Puebla,Menos de 1 s.m.,2243648,1730092,513556,6621824,4416631,2205193,0,0,0
1082,2008,Puebla,M s de 1 hasta 2 s.m.,23580,19206,4374,6621824,4416631,2205193,0,0,0
1083,2008,Puebla,M s de 10 s.m.,1477129,643593,833536,6621824,4416631,2205193,0,0,0
1084,2008,Puebla,M s de 2 hasta 3 s.m.,653808,642071,11737,6621824,4416631,2205193,0,0,0
1085,2008,Puebla,M s de 3 hasta 5 s.m.,1645238,905414,739824,6621824,4416631,2205193,0,0,0
1086,2008,Puebla,M s de 5 hasta 10 s.m.,240328,161948,78380,6621824,4416631,2205193,0,0,0
1087,2008,Puebla,No especificado,35536,23518,12018,6621824,4416631,2205193,0,0,0
1088,2008,Puebla,No recibe ingresos,272020,261443,10577,6621824,4416631,2205193,0,0,0
1089,2008,Queretaro,1 salario m¡nimo,5163,5014,149,1801692,1238763,562929,0,0,0
1090,2008,Queretaro,Menos de 1 s.m.,237492,205602,31890,1801692,1238763,562929,0,0,0
1091,2008,Queretaro,M s de 1 hasta 2 s.m.,11264,9517,1747,1801692,1238763,562929,0,0,0
1092,2008,Queretaro,M s de 10 s.m.,439345,182373,256972,1801692,1238763,562929,0,0,0
1093,2008,Queretaro,M s de 2 hasta 3 s.m.,282855,271032,11823,1801692,1238763,562929,0,0,0
1094,2008,Queretaro,M s de 3 hasta 5 s.m.,597934,378835,219099,1801692,1238763,562929,0,0,0
1095,2008,Queretaro,M s de 5 hasta 10 s.m.,89795,65326,24469,1801692,1238763,562929,0,0,0
1096,2008,Queretaro,No especificado,24940,15301,9639,1801692,1238763,562929,0,0,0
1097,2008,Queretaro,No recibe ingresos,112904,105763,7141,1801692,1238763,562929,0,0,0
1098,2008,Quintana Roo,1 salario m¡nimo,5147,5147,0,1200043,830146,369897,0,0,0
1099,2008,Quintana Roo,Menos de 1 s.m.,135082,122148,12934,1200043,830146,369897,0,0,0
1100,2008,Quintana Roo,M s de 1 hasta 2 s.m.,7341,6096,1245,1200043,830146,369897,0,0,0
1101,2008,Quintana Roo,M s de 10 s.m.,425907,177493,248414,1200043,830146,369897,0,0,0
1102,2008,Quintana Roo,M s de 2 hasta 3 s.m.,263203,249061,14142,1200043,830146,369897,0,0,0
1103,2008,Quintana Roo,M s de 3 hasta 5 s.m.,153804,93599,60205,1200043,830146,369897,0,0,0
1104,2008,Quintana Roo,M s de 5 hasta 10 s.m.,41732,30800,10932,1200043,830146,369897,0,0,0
1105,2008,Quintana Roo,No especificado,28290,18293,9997,1200043,830146,369897,0,0,0
1106,2008,Quintana Roo,No recibe ingresos,139537,127509,12028,1200043,830146,369897,0,0,0
1107,2008,San Luis Potos¡,1 salario m¡nimo,24083,23008,1075,2686524,1937786,748738,0,0,0
1108,2008,San Luis Potos¡,Menos de 1 s.m.,796688,695901,100787,2686524,1937786,748738,0,0,0
1109,2008,San Luis Potos¡,M s de 1 hasta 2 s.m.,17805,13472,4333,2686524,1937786,748738,0,0,0
1110,2008,San Luis Potos¡,M s de 10 s.m.,624246,270463,353783,2686524,1937786,748738,0,0,0
1111,2008,San Luis Potos¡,M s de 2 hasta 3 s.m.,303568,293541,10027,2686524,1937786,748738,0,0,0
1112,2008,San Luis Potos¡,M s de 3 hasta 5 s.m.,652159,420520,231639,2686524,1937786,748738,0,0,0
1113,2008,San Luis Potos¡,M s de 5 hasta 10 s.m.,112662,81519,31143,2686524,1937786,748738,0,0,0
1114,2008,San Luis Potos¡,No especificado,16914,10392,6522,2686524,1937786,748738,0,0,0
1115,2008,San Luis Potos¡,No recibe ingresos,138399,128970,9429,2686524,1937786,748738,0,0,0
1116,2008,Sinaloa,1 salario m¡nimo,13889,13393,496,2953947,2114213,839734,0,0,0
1117,2008,Sinaloa,Menos de 1 s.m.,887211,779816,107395,2953947,2114213,839734,0,0,0
1118,2008,Sinaloa,M s de 1 hasta 2 s.m.,30073,25068,5005,2953947,2114213,839734,0,0,0
1119,2008,Sinaloa,M s de 10 s.m.,864912,382357,482555,2953947,2114213,839734,0,0,0
1120,2008,Sinaloa,M s de 2 hasta 3 s.m.,391892,375131,16761,2953947,2114213,839734,0,0,0
1121,2008,Sinaloa,M s de 3 hasta 5 s.m.,470809,304040,166769,2953947,2114213,839734,0,0,0
1122,2008,Sinaloa,M s de 5 hasta 10 s.m.,135768,95980,39788,2953947,2114213,839734,0,0,0
1123,2008,Sinaloa,No especificado,31123,17403,13720,2953947,2114213,839734,0,0,0
1124,2008,Sinaloa,No recibe ingresos,128270,121025,7245,2953947,2114213,839734,0,0,0
1125,2008,Sonora,1 salario m¡nimo,28723,26499,2224,2632969,1776872,856097,0,0,0
1126,2008,Sonora,Menos de 1 s.m.,439315,383230,56085,2632969,1776872,856097,0,0,0
1127,2008,Sonora,M s de 1 hasta 2 s.m.,17887,11935,5952,2632969,1776872,856097,0,0,0
1128,2008,Sonora,M s de 10 s.m.,726818,341256,385562,2632969,1776872,856097,0,0,0
1129,2008,Sonora,M s de 2 hasta 3 s.m.,384116,372089,12027,2632969,1776872,856097,0,0,0
1130,2008,Sonora,M s de 3 hasta 5 s.m.,747064,411274,335790,2632969,1776872,856097,0,0,0
1131,2008,Sonora,M s de 5 hasta 10 s.m.,117288,83237,34051,2632969,1776872,856097,0,0,0
1132,2008,Sonora,No especificado,35866,24781,11085,2632969,1776872,856097,0,0,0
1133,2008,Sonora,No recibe ingresos,135892,122571,13321,2632969,1776872,856097,0,0,0
1134,2008,Tabasco,1 salario m¡nimo,160539,136451,24088,2094166,1638161,456005,0,0,0
1135,2008,Tabasco,Menos de 1 s.m.,577105,554622,22483,2094166,1638161,456005,0,0,0
1136,2008,Tabasco,M s de 1 hasta 2 s.m.,15905,12459,3446,2094166,1638161,456005,0,0,0
1137,2008,Tabasco,M s de 10 s.m.,569374,285843,283531,2094166,1638161,456005,0,0,0
1138,2008,Tabasco,M s de 2 hasta 3 s.m.,259716,254714,5002,2094166,1638161,456005,0,0,0
1139,2008,Tabasco,M s de 3 hasta 5 s.m.,263569,171746,91823,2094166,1638161,456005,0,0,0
1140,2008,Tabasco,M s de 5 hasta 10 s.m.,89168,76075,13093,2094166,1638161,456005,0,0,0
1141,2008,Tabasco,No especificado,22450,15557,6893,2094166,1638161,456005,0,0,0
1142,2008,Tabasco,No recibe ingresos,136340,130694,5646,2094166,1638161,456005,0,0,0
1143,2008,Tamaulipas,1 salario m¡nimo,59476,48593,10883,3374042,2345332,1028710,0,0,0
1144,2008,Tamaulipas,Menos de 1 s.m.,343166,323804,19362,3374042,2345332,1028710,0,0,0
1145,2008,Tamaulipas,M s de 1 hasta 2 s.m.,38878,33558,5320,3374042,2345332,1028710,0,0,0
1146,2008,Tamaulipas,M s de 10 s.m.,968610,462295,506315,3374042,2345332,1028710,0,0,0
1147,2008,Tamaulipas,M s de 2 hasta 3 s.m.,556529,534968,21561,3374042,2345332,1028710,0,0,0
1148,2008,Tamaulipas,M s de 3 hasta 5 s.m.,960851,585753,375098,3374042,2345332,1028710,0,0,0
1149,2008,Tamaulipas,M s de 5 hasta 10 s.m.,141663,104016,37647,3374042,2345332,1028710,0,0,0
1150,2008,Tamaulipas,No especificado,53923,37646,16277,3374042,2345332,1028710,0,0,0
1151,2008,Tamaulipas,No recibe ingresos,250946,214699,36247,3374042,2345332,1028710,0,0,0
1152,2008,Tlaxcala,1 salario m¡nimo,1468,1468,0,1246294,852742,393552,0,0,0
1153,2008,Tlaxcala,Menos de 1 s.m.,281316,243419,37897,1246294,852742,393552,0,0,0
1154,2008,Tlaxcala,M s de 1 hasta 2 s.m.,4064,3547,517,1246294,852742,393552,0,0,0
1155,2008,Tlaxcala,M s de 10 s.m.,301916,132545,169371,1246294,852742,393552,0,0,0
1156,2008,Tlaxcala,M s de 2 hasta 3 s.m.,163457,161559,1898,1246294,852742,393552,0,0,0
1157,2008,Tlaxcala,M s de 3 hasta 5 s.m.,414710,240623,174087,1246294,852742,393552,0,0,0
1158,2008,Tlaxcala,M s de 5 hasta 10 s.m.,22207,16760,5447,1246294,852742,393552,0,0,0
1159,2008,Tlaxcala,No especificado,5436,2430,3006,1246294,852742,393552,0,0,0
1160,2008,Tlaxcala,No recibe ingresos,51720,50391,1329,1246294,852742,393552,0,0,0
1161,2008,Veracruz,1 salario m¡nimo,117842,100582,17260,7843614,5905488,1938126,0,0,0
1162,2008,Veracruz,Menos de 1 s.m.,2738757,2526254,212503,7843614,5905488,1938126,0,0,0
1163,2008,Veracruz,M s de 1 hasta 2 s.m.,80739,64177,16562,7843614,5905488,1938126,0,0,0
1164,2008,Veracruz,M s de 10 s.m.,2086822,915129,1171693,7843614,5905488,1938126,0,0,0
1165,2008,Veracruz,M s de 2 hasta 3 s.m.,1002620,962849,39771,7843614,5905488,1938126,0,0,0
1166,2008,Veracruz,M s de 3 hasta 5 s.m.,1123536,737445,386091,7843614,5905488,1938126,0,0,0
1167,2008,Veracruz,M s de 5 hasta 10 s.m.,137375,107646,29729,7843614,5905488,1938126,0,0,0
1168,2008,Veracruz,No especificado,64091,43864,20227,7843614,5905488,1938126,0,0,0
1169,2008,Veracruz,No recibe ingresos,491832,447542,44290,7843614,5905488,1938126,0,0,0
1170,2008,Yucat n,1 salario m¡nimo,6524,6256,268,2182864,1497994,684870,0,0,0
1171,2008,Yucat n,Menos de 1 s.m.,400750,370065,30685,2182864,1497994,684870,0,0,0
1172,2008,Yucat n,M s de 1 hasta 2 s.m.,18603,14346,4257,2182864,1497994,684870,0,0,0
1173,2008,Yucat n,M s de 10 s.m.,490234,216945,273289,2182864,1497994,684870,0,0,0
1174,2008,Yucat n,M s de 2 hasta 3 s.m.,326825,319300,7525,2182864,1497994,684870,0,0,0
1175,2008,Yucat n,M s de 3 hasta 5 s.m.,688888,355666,333222,2182864,1497994,684870,0,0,0
1176,2008,Yucat n,M s de 5 hasta 10 s.m.,100805,79413,21392,2182864,1497994,684870,0,0,0
1177,2008,Yucat n,No especificado,26112,19315,6797,2182864,1497994,684870,0,0,0
1178,2008,Yucat n,No recibe ingresos,124123,116688,7435,2182864,1497994,684870,0,0,0
1179,2008,Zacatecas,1 salario m¡nimo,23765,23062,703,1478430,1072224,406206,0,0,0
1180,2008,Zacatecas,Menos de 1 s.m.,591299,501814,89485,1478430,1072224,406206,0,0,0
1181,2008,Zacatecas,M s de 1 hasta 2 s.m.,3513,2946,567,1478430,1072224,406206,0,0,0
1182,2008,Zacatecas,M s de 10 s.m.,386346,155361,230985,1478430,1072224,406206,0,0,0
1183,2008,Zacatecas,M s de 2 hasta 3 s.m.,202710,199592,3118,1478430,1072224,406206,0,0,0
1184,2008,Zacatecas,M s de 3 hasta 5 s.m.,184127,116306,67821,1478430,1072224,406206,0,0,0
1185,2008,Zacatecas,M s de 5 hasta 10 s.m.,45897,37080,8817,1478430,1072224,406206,0,0,0
1186,2008,Zacatecas,No especificado,7198,3918,3280,1478430,1072224,406206,0,0,0
1187,2008,Zacatecas,No recibe ingresos,33575,32145,1430,1478430,1072224,406206,0,0,0
1188,2009,Aguascalientes,1 salario m¡nimo,4512,4326,186,1018094,724369,293725,0,0,0
1189,2009,Aguascalientes,Menos de 1 s.m.,109388,103376,6012,1018094,724369,293725,0,0,0
1190,2009,Aguascalientes,M s de 1 hasta 2 s.m.,6088,4622,1466,1018094,724369,293725,0,0,0
1191,2009,Aguascalientes,M s de 10 s.m.,300755,148627,152128,1018094,724369,293725,0,0,0
1192,2009,Aguascalientes,M s de 2 hasta 3 s.m.,143470,138788,4682,1018094,724369,293725,0,0,0
1193,2009,Aguascalientes,M s de 3 hasta 5 s.m.,334744,222658,112086,1018094,724369,293725,0,0,0
1194,2009,Aguascalientes,M s de 5 hasta 10 s.m.,50241,40336,9905,1018094,724369,293725,0,0,0
1195,2009,Aguascalientes,No especificado,9158,4589,4569,1018094,724369,293725,0,0,0
