,year,state,level,total_people_by_state_and_level,total_man_by_state_and_level,total_woman_by_state_and_level,total_people_by_state_and_year,total_man_by_state_and_year,total_woman_by_state_and_year,man_percentage_by_state_and_level,woman_percentage_by_state_and_level,rate_level,percentage_by_level_and_total_people_by_state_and_year,mean_by_state_and_level
79,5,9,9,6980,4310,2670,605384,422976,182408,61.74800000000001,38.252,0,1.153,1.406
80,5,9,8,57400,50428,6972,605384,422976,182408,87.854,12.146,2,9.482000000000001,11.423
81,5,10,2,26931,23743,3188,1545941,1180199,365742,88.162,11.838,2,1.742,2.742
82,5,10,1,448535,430932,17603,1545941,1180199,365742,96.075,3.925,1,29.014,24.413
83,5,10,3,7136,6041,1095,1545941,1180199,365742,84.655,15.345,2,0.462,0.632
84,5,10,7,336669,141758,194911,1545941,1180199,365742,42.106,57.894,1,21.778000000000002,24.853
85,5,10,4,170140,164469,5671,1545941,1180199,365742,96.667,3.333,2,11.005999999999998,12.53
86,5,10,5,393872,270484,123388,1545941,1180199,365742,68.673,31.327,1,25.478,24.160999999999998
87,5,10,6,48660,38710,9950,1545941,1180199,365742,79.55199999999998,20.448,1,3.148,3.373
88,5,10,9,9218,5443,3775,1545941,1180199,365742,59.048,40.952,0,0.596,0.8140000000000001
89,5,10,8,104780,98619,6161,1545941,1180199,365742,94.12,5.88,1,6.778,6.482
90,5,11,2,26137,24497,1640,14194353,10157282,4037071,93.725,6.275,1,0.184,0.177
91,5,11,1,1226255,1069849,156406,14194353,10157282,4037071,87.245,12.755,1,8.639,8.054
92,5,11,3,117735,112767,4968,14194353,10157282,4037071,95.78,4.22,1,0.8290000000000001,0.599
93,5,11,7,4226176,2168027,2058149,14194353,10157282,4037071,51.3,48.7,1,29.774,30.844
94,5,11,4,2141733,2078078,63655,14194353,10157282,4037071,97.028,2.972,1,15.089,14.405
95,5,11,5,4322859,2817690,1505169,14194353,10157282,4037071,65.181,34.819,1,30.455,29.500999999999998
96,5,11,6,579218,460194,119024,14194353,10157282,4037071,79.45100000000002,20.549,1,4.081,4.439
97,5,11,9,201765,132354,69411,14194353,10157282,4037071,65.598,34.402,0,1.421,1.5630000000000002
98,5,11,8,1352475,1293826,58649,14194353,10157282,4037071,95.664,4.336,2,9.527999999999999,10.418
99,5,12,2,15917,15634,283,5502750,3747106,1755644,98.222,1.778,2,0.289,0.313
100,5,12,1,1049491,903120,146371,5502750,3747106,1755644,86.053,13.947,1,19.072,16.295
101,5,12,3,35605,30873,4732,5502750,3747106,1755644,86.71,13.29,1,0.647,0.526
102,5,12,7,1476345,609732,866613,5502750,3747106,1755644,41.3,58.7,2,26.829,25.482
103,5,12,4,604942,590471,14471,5502750,3747106,1755644,97.608,2.392,2,10.993,12.095999999999998
104,5,12,5,1809367,1186471,622896,5502750,3747106,1755644,65.574,34.426,2,32.881,35.781
105,5,12,6,272621,202879,69742,5502750,3747106,1755644,74.418,25.582,1,4.954,5.098
106,5,12,9,32572,22644,9928,5502750,3747106,1755644,69.52,30.48,0,0.5920000000000001,0.634
107,5,12,8,205890,185282,20608,5502750,3747106,1755644,89.991,10.009,2,3.742,3.775
108,5,13,2,4557,4017,540,3197806,2281191,916615,88.15,11.85,2,0.14300000000000002,0.325
109,5,13,1,1363224,1199056,164168,3197806,2281191,916615,87.95700000000002,12.043,2,42.63,44.214
110,5,13,3,11583,11379,204,3197806,2281191,916615,98.239,1.761,2,0.36200000000000004,0.522
111,5,13,7,679477,244177,435300,3197806,2281191,916615,35.936,64.064,1,21.248,22.162
112,5,13,4,367203,361419,5784,3197806,2281191,916615,98.425,1.575,1,11.482999999999999,9.879
113,5,13,5,475501,197985,277516,3197806,2281191,916615,41.637,58.363,1,14.87,14.311
114,5,13,6,90057,69337,20720,3197806,2281191,916615,76.992,23.008000000000006,2,2.8160000000000003,2.497
115,5,13,9,22613,14169,8444,3197806,2281191,916615,62.659,37.341,0,0.7070000000000001,0.5579999999999999
116,5,13,8,183591,179652,3939,3197806,2281191,916615,97.854,2.146,1,5.7410000000000005,5.5329999999999995
117,5,14,2,14494,14494,0,2869155,1997037,872118,100.0,0.0,2,0.505,0.537
118,5,14,1,997895,804160,193735,2869155,1997037,872118,80.586,19.414,1,34.78,31.308000000000003
119,5,14,3,16623,14208,2415,2869155,1997037,872118,85.47200000000002,14.528,2,0.579,0.613
120,5,14,7,674046,297455,376591,2869155,1997037,872118,44.13,55.87,2,23.493000000000002,23.351999999999997
121,5,14,4,321051,315395,5656,2869155,1997037,872118,98.238,1.7619999999999998,2,11.19,13.095999999999998
122,5,14,5,628898,366647,262251,2869155,1997037,872118,58.3,41.7,2,21.919,22.375
123,5,14,6,78030,63171,14859,2869155,1997037,872118,80.957,19.043,1,2.72,3.173
124,5,14,9,23294,11340,11954,2869155,1997037,872118,48.682,51.31800000000001,0,0.812,0.62
125,5,14,8,114824,110167,4657,2869155,1997037,872118,95.944,4.056,2,4.002,4.926
126,5,15,2,6265,5999,266,7387703,5000539,2387164,95.754,4.246,2,0.085,0.138
127,5,15,1,1220570,1016892,203678,7387703,5000539,2387164,83.31299999999997,16.687,1,16.522000000000002,15.06
128,5,15,3,34066,26089,7977,7387703,5000539,2387164,76.584,23.416,2,0.461,0.46399999999999997
129,5,15,7,2126076,1014341,1111735,7387703,5000539,2387164,47.71,52.29,1,28.779,29.414
130,5,15,4,918876,900769,18107,7387703,5000539,2387164,98.029,1.971,2,12.437999999999999,12.827
131,5,15,5,2293818,1393744,900074,7387703,5000539,2387164,60.761,39.239,1,31.049,30.311
132,5,15,6,335880,257001,78879,7387703,5000539,2387164,76.516,23.484,1,4.546,5.267
133,5,15,9,72049,51186,20863,7387703,5000539,2387164,71.043,28.957,0,0.975,1.202
134,5,15,8,380103,334518,45585,7387703,5000539,2387164,88.007,11.993,2,5.145,5.317
135,5,16,2,2696,2696,0,4438366,3067738,1370628,100.0,0.0,2,0.061,0.107
136,5,16,1,1340985,1134775,206210,4438366,3067738,1370628,84.62200000000001,15.378,2,30.213,33.41
137,5,16,3,36080,29295,6785,4438366,3067738,1370628,81.195,18.805,1,0.813,0.58
138,5,16,7,1145443,468741,676702,4438366,3067738,1370628,40.922,59.078,1,25.808000000000003,26.295
139,5,16,4,474941,470113,4828,4438366,3067738,1370628,98.983,1.017,2,10.700999999999999,11.367
140,5,16,5,966032,563544,402488,4438366,3067738,1370628,58.33600000000001,41.664,1,21.765,18.725
141,5,16,6,193430,149618,43812,4438366,3067738,1370628,77.35,22.65,2,4.3580000000000005,4.1419999999999995
142,5,16,9,27169,14275,12894,4438366,3067738,1370628,52.541,47.459,0,0.612,0.688
143,5,16,8,251590,234681,16909,4438366,3067738,1370628,93.279,6.721,1,5.669,4.686
